Round,Date,Time,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
Matchweek 1,2023-08-11,20:00,Fri,Away,W,3,0,Burnley,1.9,0.3,65,21572,Kevin De Bruyne,4-2-3-1,Craig Pawson
Matchweek 2,2023-08-19,20:00,Sat,Home,W,1,0,Newcastle Utd,1.0,0.3,59,53419,Kyle Walker,4-2-3-1,Robert Jones
Matchweek 3,2023-08-27,14:00,Sun,Away,W,2,1,Sheffield Utd,3.5,0.7,79,31336,Kyle Walker,4-2-3-1,Jarred Gillett
Matchweek 4,2023-09-02,15:00,Sat,Home,W,5,1,Fulham,2.2,1.4,68,52899,Kyle Walker,4-2-3-1,Michael Oliver
Matchweek 5,2023-09-16,15:00,Sat,Away,W,3,1,West Ham,3.6,0.9,68,62475,Kyle Walker,4-2-3-1,Andy Madley
Matchweek 6,2023-09-23,15:00,Sat,Home,W,2,0,Nott'ham Forest,1.3,1.0,57,53413,Kyle Walker,4-2-3-1,Anthony Taylor
Matchweek 7,2023-09-30,15:00,Sat,Away,L,1,2,Wolves,0.9,0.4,68,31415,Kyle Walker,4-2-3-1,Craig Pawson
Matchweek 8,2023-10-08,16:30,Sun,Away,L,0,1,Arsenal,0.5,0.4,51,60233,Kyle Walker,4-3-3,Michael Oliver
Matchweek 9,2023-10-21,15:00,Sat,Home,W,2,1,Brighton,0.8,0.8,55,53466,Kyle Walker,3-2-4-1,Robert Jones
Matchweek 10,2023-10-29,15:30,Sun,Away,W,3,0,Manchester Utd,4.0,0.9,60,73502,Kyle Walker,4-2-3-1,Paul Tierney
Matchweek 11,2023-11-04,15:00,Sat,Home,W,6,1,Bournemouth,1.9,0.9,65,53358,Kyle Walker,3-4-3,Craig Pawson
Matchweek 12,2023-11-12,16:30,Sun,Away,D,4,4,Chelsea,2.9,2.9,55,39532,Kyle Walker,3-2-4-1,Anthony Taylor
Matchweek 13,2023-11-25,12:30,Sat,Home,D,1,1,Liverpool,1.3,0.6,59,53289,Kyle Walker,3-2-4-1,Chris Kavanagh
Matchweek 14,2023-12-03,16:30,Sun,Home,D,3,3,Tottenham,2.6,0.5,55,53473,Kyle Walker,3-2-4-1,Simon Hooper
Matchweek 15,2023-12-06,20:15,Wed,Away,L,0,1,Aston Villa,0.6,2.3,54,41421,Kyle Walker,3-2-4-1,John Brooks
Matchweek 16,2023-12-10,14:00,Sun,Away,W,2,1,Luton Town,1.6,0.3,65,11047,Kyle Walker,4-2-3-1,Tim Robinson
