Round,Total_Cmp,Total_Att,Total_Cmp%,TotDist_x,PrgDist_x,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3_x,PPA,CrsPA,PrgP,Att_x,Live_x,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live_y,Att_y,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_y,PrgDist_y,PrgC,1/3_y,CPA,Mis,Dis,Rec,PrgR
Matchweek 1,655,740,88.5,10790,3194,325,339,95.9,252,277,91.0,51,84,60.7,2,1.3,1.3,14,42,10,2,28,740,703,36,10,7,1,15,13,5,0,4,0,655,1,7,65.0,835,75,267,412,158,23,835,10,3,30.0,3,30.0,558,2724,1240,12,13,3,9,9,632,28
Matchweek 2,632,714,88.5,10155,2989,343,366,93.7,234,263,89.0,38,58,65.5,1,1.0,0.8,13,29,7,0,42,714,671,42,15,4,4,7,19,3,1,0,0,632,1,4,59.0,788,65,212,411,174,21,788,19,14,73.7,5,26.3,434,2418,1223,25,16,9,11,5,627,42
Matchweek 3,707,793,89.2,12243,3342,311,326,95.4,326,352,92.6,55,81,67.9,2,2.5,2.7,25,50,23,3,75,793,752,39,8,3,4,35,11,12,6,2,0,707,2,9,79.0,893,40,153,440,304,53,892,17,9,52.9,6,35.3,676,3919,2285,42,40,10,13,5,700,73
Matchweek 4,681,766,88.9,11763,3078,305,329,92.7,288,311,92.6,65,90,72.2,3,0.9,0.6,5,39,8,1,38,766,722,43,12,4,3,9,21,4,0,3,0,681,1,11,68.0,838,64,222,483,138,20,837,17,12,70.6,4,23.5,524,2539,1472,18,10,3,9,7,673,38
Matchweek 5,676,747,90.5,10979,2860,337,359,93.9,280,301,93.0,47,63,74.6,3,3.3,3.5,24,60,18,3,75,747,712,35,7,4,2,25,13,11,0,6,0,676,0,10,68.0,837,49,148,382,311,49,837,15,7,46.7,7,46.7,678,3574,2229,53,27,15,9,7,670,74
Matchweek 6,525,599,87.6,8966,2736,259,275,94.2,211,230,91.7,41,71,57.7,2,1.1,1.1,5,62,5,0,31,599,551,48,18,3,3,11,15,6,2,2,0,525,0,5,57.0,689,65,152,362,179,13,689,20,8,40.0,10,50.0,439,2009,992,11,16,2,16,8,519,31
Matchweek 7,557,645,86.4,8910,2052,285,305,93.4,232,258,89.9,28,45,62.2,0,0.6,1.3,17,67,14,2,68,645,589,56,19,4,3,21,25,6,0,4,0,557,0,14,68.0,732,24,116,294,324,39,732,18,12,66.7,5,27.8,488,3300,2259,41,36,10,12,7,552,68
Matchweek 8,468,549,85.2,7781,2418,225,247,91.1,193,208,92.8,34,60,56.7,0,0.5,0.6,4,24,5,0,28,549,515,34,10,1,2,10,13,4,4,0,0,468,0,14,51.0,638,72,229,311,103,14,638,20,8,40.0,10,50.0,391,1764,1061,14,13,2,12,10,460,27
Matchweek 9,561,636,88.2,9889,2778,235,246,95.5,268,289,92.7,48,73,65.8,1,0.6,0.4,7,47,6,0,38,636,602,32,11,0,2,10,13,2,0,2,0,561,2,10,55.0,721,58,193,339,194,21,721,17,10,58.8,5,29.4,419,2089,1086,25,14,11,11,5,555,37
Matchweek 10,557,639,87.2,9421,2794,281,303,92.7,207,230,90.0,56,82,68.3,2,2.9,2.6,14,31,18,2,59,639,599,40,10,3,4,19,12,12,4,4,0,557,0,4,60.0,734,53,161,324,256,39,733,18,12,66.7,4,22.2,419,2773,1403,31,28,7,13,10,553,59
