Round,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Matchweek 1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,29,20,3,1,2,3,0,5,4,0,0,1,0,0
Matchweek 2,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1.0,1.0,0.07,0.0,0.0,27,24,1,1,1,0,0,2,2,0,0,0,0,0
Matchweek 3,2,29,9,31.0,0.07,0.22,17.3,2,0,1,3.5,2.8,0.1,-1.5,-0.8,58,52,1,1,2,2,0,4,3,0,0,1,0,0
Matchweek 4,5,6,4,66.7,0.67,1.0,14.8,0,1,1,2.2,1.4,0.25,2.8,2.6,13,9,1,1,1,1,0,9,5,1,1,1,1,0
Matchweek 5,3,29,13,44.8,0.1,0.23,16.4,1,0,0,3.6,3.6,0.13,-0.6,-0.6,55,45,1,2,5,1,1,6,6,0,0,0,0,0
Matchweek 6,2,7,4,57.1,0.29,0.5,17.2,2,0,0,1.3,1.3,0.19,0.7,0.7,14,10,1,1,0,2,0,4,4,0,0,0,0,0
Matchweek 7,1,23,8,34.8,0.04,0.13,19.3,1,0,0,0.9,0.9,0.04,0.1,0.1,41,27,4,0,5,5,0,2,1,0,0,0,1,0
Matchweek 8,0,4,0,0.0,0.0,,14.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5,7,6,1,0,0,0,0,0,0,0,0,0,0,0
Matchweek 9,2,10,5,50.0,0.2,0.4,18.8,1,0,0,0.8,0.8,0.08,1.2,1.2,17,13,0,3,0,1,0,2,1,0,1,0,0,0
Matchweek 10,3,20,9,45.0,0.1,0.22,17.2,2,1,1,4.0,3.2,0.16,-1.0,-1.2,40,33,1,0,2,4,0,6,3,0,0,1,2,0
Matchweek 11,6,21,8,38.1,0.29,0.75,16.4,0,0,0,1.9,1.9,0.09,4.1,4.1,40,33,2,4,1,0,0,11,9,0,1,1,0,0
Matchweek 12,4,14,9,64.3,0.21,0.33,16.6,1,1,1,2.9,2.1,0.15,1.1,0.9,29,21,2,2,2,2,0,7,4,1,0,1,1,0
Matchweek 13,1,16,5,31.3,0.06,0.2,16.3,1,0,0,1.3,1.3,0.08,-0.3,-0.3,30,18,3,5,1,2,1,2,1,0,1,0,0,0
Matchweek 14,2,17,4,23.5,0.12,0.5,13.4,0,0,0,2.6,2.6,0.15,-0.6,-0.6,32,26,3,1,1,1,0,4,4,0,0,0,0,0
Matchweek 15,0,2,2,100.0,0.0,0.0,7.4,0,0,0,0.6,0.6,0.37,-0.6,-0.6,4,3,0,0,1,0,0,0,0,0,0,0,0,0
Matchweek 16,2,18,6,33.3,0.11,0.33,18.7,1,0,0,1.6,1.6,0.09,0.4,0.4,30,25,0,1,2,1,1,4,3,0,1,0,0,0
Matchweek 17,2,19,9,47.4,0.11,0.22,18.2,0,0,0,1.6,1.6,0.08,0.4,0.4,36,27,5,0,1,2,1,2,2,0,0,0,0,0
Matchweek 19,3,22,8,36.4,0.09,0.25,19.5,1,1,1,2.4,1.8,0.09,0.6,0.2,38,25,2,4,4,2,1,3,2,0,0,1,0,0
Matchweek 20,2,18,4,22.2,0.11,0.5,17.4,0,0,0,2.2,2.2,0.12,-0.2,-0.2,31,28,1,2,0,0,0,4,3,0,1,0,0,0
Matchweek 21,3,27,11,40.7,0.11,0.27,19.3,2,0,0,3.0,3.0,0.11,0.0,0.0,47,38,1,4,1,2,1,6,4,0,2,0,0,0
Matchweek 22,3,14,4,28.6,0.21,0.75,15.8,1,0,0,1.7,1.7,0.13,1.3,1.3,26,19,3,1,1,2,0,6,4,1,0,0,1,0
Matchweek 23,3,25,15,60.0,0.12,0.2,19.2,0,0,0,2.1,2.1,0.08,0.9,0.9,46,35,3,3,3,0,2,6,6,0,0,0,0,0
Matchweek 24,2,19,3,15.8,0.11,0.67,17.4,0,0,0,1.6,1.6,0.09,0.4,0.4,35,27,2,2,4,0,0,3,1,0,1,1,0,0
Matchweek 25,1,31,5,16.1,0.03,0.2,15.9,1,0,0,2.6,2.6,0.09,-1.6,-1.6,54,43,4,0,3,3,1,1,0,0,0,1,0,0
Matchweek 18,1,25,10,40.0,0.04,0.1,17.6,0,0,0,2.3,2.3,0.1,-1.3,-1.3,45,38,2,2,2,1,0,2,2,0,0,0,0,0
Matchweek 26,1,15,6,40.0,0.07,0.17,15.5,1,0,0,1.6,1.6,0.12,-0.6,-0.6,28,21,3,0,3,1,0,1,0,0,0,1,0,0
Matchweek 27,3,27,8,29.6,0.11,0.38,17.7,1,0,0,3.3,3.3,0.12,-0.3,-0.3,50,44,1,2,1,1,1,6,5,0,0,0,0,1
Matchweek 28,1,10,6,60.0,0.1,0.17,18.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6,19,15,1,1,0,0,2,2,1,1,0,0,0,0
Matchweek 30,0,12,1,8.3,0.0,0.0,14.2,0,0,0,1.0,1.0,0.09,-1.0,-1.0,24,18,3,3,0,0,0,0,0,0,0,0,0,0
Matchweek 31,4,25,11,44.0,0.16,0.36,15.9,2,0,0,3.4,3.4,0.14,0.6,0.6,45,35,0,4,2,2,2,6,3,0,1,0,1,1
Matchweek 32,4,18,8,44.4,0.22,0.5,16.1,0,0,0,1.9,1.9,0.11,2.1,2.1,36,32,1,1,2,0,0,8,8,0,0,0,0,0
Matchweek 33,4,36,12,33.3,0.08,0.25,16.9,0,1,1,4.2,3.4,0.1,-0.2,-0.4,67,50,3,5,7,1,1,8,6,0,1,0,1,0
Matchweek 29,4,14,6,42.9,0.29,0.67,17.0,1,0,0,1.4,1.4,0.1,2.6,2.6,20,14,1,1,2,2,0,6,4,0,1,0,1,0
Matchweek 35,2,11,5,45.5,0.18,0.4,18.7,1,0,0,0.9,0.9,0.08,1.1,1.1,20,17,1,0,0,1,1,4,3,1,0,0,0,0
Matchweek 36,5,18,10,55.6,0.17,0.3,15.3,0,2,2,3.7,2.1,0.12,1.3,0.9,35,25,1,3,2,3,1,9,7,0,0,0,2,0
Matchweek 37,4,15,8,53.3,0.2,0.38,17.6,0,1,1,3.2,2.4,0.16,0.8,0.6,30,28,0,1,0,1,0,8,6,0,1,0,1,0
Matchweek 34,2,7,4,57.1,0.14,0.25,14.5,0,1,1,2.4,1.6,0.23,-0.4,-0.6,13,11,0,0,0,2,0,4,3,0,0,0,1,0
Matchweek 38,3,28,12,42.9,0.11,0.25,17.9,2,0,0,1.9,1.9,0.07,1.1,1.1,48,36,3,3,3,3,0,6,5,0,1,0,0,0
,94,683,264,38.7,0.12,0.32,17.1,25,9,10,80.5,72.9,0.11,13.5,12.1,1259,991,65,65,67,54,17,169,125,5,14,10,13,2
